Base filename,EH201003_Odorexperiment_1
Time (sec),LED1,LED2,LED3,LED4,Amplitude,Frequency,Pulse width,Odor_L,Odor_R
0,0,0,0,0,0,0,0,A,
1,0,0,0,0,0,0,0,B,
2,0,0,0,0,0,0,0,C,
3,1,1,1,1,50,30,10,D,
4,0,0,0,0,0,0,0,,A
5,1,1,1,1,50,30,10,,B
6,0,0,0,0,0,0,0,,C
7,1,1,1,1,50,30,10,,D
8,0,0,0,0,0,0,0,A,A
9,1,1,1,1,50,30,10,B,B
10,0,0,0,0,0,0,0,C,C
11,0,0,0,0,0,0,0,D,D
12,0,0,0,0,0,0,0,,
13,0,0,0,0,0,0,0,,
end

Metadata"Date","3/1/2016"
"Time","16:33:00"
"SetTemp","25"
"Temperature","24.9"
"Humidity","54"
"Genotype","15A01-71G01_CSCRIM;BDPG4U_CSCRIM"
"CrossDate",""
"CollectionDate","160127"
"Housing","G"
"RearingTemp","25"
"Marking","0;0"
"Arena","FOOD"
"ExperimentType","LED"
"NotesBehavioral",""
"NotesTechnical",""
"Keywords",""
"Backlight","IR"
"Indicator","9"
"Wavelength","685"
"OdorA","EA"
"OdorB","MCH"
"OdorC","OCT"
"OdorD","Air"
